WHO_Data_Dump

Location,LocationCode,Year,CategoryId,Category,DatasourceId,DataSource,Measure,MeasureMethod,Numerator,Denominator,Has_Denominator,Target,Has_Target,IsNumeric
"ALGERIA","DZ","2018","29","Total","3","WHO / GHO","80.00","Numeric","","","false","","false","true",
"ALGERIA","DZ","2019","29","Total","3","WHO / GHO","80.00","Numeric","","","false","","false","true",
"ALGERIA","DZ","2020","29","Total","3","WHO / GHO","80.00","Numeric","","","false","","false","true",
"ANGOLA","AO","2018","29","Total","3","WHO / GHO","60.00","Numeric","","","false","","false","true",
"ANGOLA","AO","2019","29","Total","3","WHO / GHO","60.00","Numeric","","","false","","false","true",
"ANGOLA","AO","2020","29","Total","3","WHO / GHO","60.00","Numeric","","","false","","false","true",
"BENIN","BJ","2018","29","Total","3","WHO / GHO","60.00","Numeric","","","false","","false","true",
"BENIN","BJ","2019","29","Total","3","WHO / GHO","60.00","Numeric","","","false","","false","true",
"BENIN","BJ","2020","29","Total","3","WHO / GHO","60.00","Numeric","","","false","","false","true",
"BOTSWANA","BW","2018","29","Total","3","WHO / GHO","20.00","Numeric","","","false","","false","true",
"BOTSWANA","BW","2019","29","Total","3","WHO / GHO","20.00","Numeric","","","false","","false","true",
"BOTSWANA","BW","2020","29","Total","3","WHO / GHO","60.00","Numeric","","","false","","false","true",
"BURKINA FASO","BF","2018","29","Total","3","WHO / GHO","60.00","Numeric","","","false","","false","true",
"BURKINA FASO","BF","2019","29","Total","3","WHO / GHO","80.00","Numeric","","","false","","false","true",
"BURKINA FASO","BF","2020","29","Total","3","WHO / GHO","80.00","Numeric","","","false","","false","true",
"BURUNDI","BI","2018","29","Total","3","WHO / GHO","40.00","Numeric","","","false","","false","true",
"BURUNDI","BI","2019","29","Total","3","WHO / GHO","60.00","Numeric","","","false","","false","true",
"BURUNDI","BI","2020","29","Total","3","WHO / GHO","60.00","Numeric","","","false","","false","true",
"CABO VERDE","CV","2018","29","Total","3","WHO / GHO","40.00","Numeric","","","false","","false","true",
"CABO VERDE","CV","2019","29","Total","3","WHO / GHO","40.00","Numeric","","","false","","false","true",
"CABO VERDE","CV","2020","29","Total","3","WHO / GHO","40.00","Numeric","","","false","","false","true",
"CAMEROON","CM","2018","29","Total","3","WHO / GHO","60.00","Numeric","","","false","","false","true",
"CAMEROON","CM","2019","29","Total","3","WHO / GHO","60.00","Numeric","","","false","","false","true",
"CAMEROON","CM","2020","29","Total","3","WHO / GHO","20.00","Numeric","","","false","","false","true",
"CENTRAL AFRICAN REPUBLIC","CF","2018","29","Total","3","WHO / GHO","20.00","Numeric","","","false","","false","true",
"CENTRAL AFRICAN REPUBLIC","CF","2019","29","Total","3","WHO / GHO","0.00","Numeric","","","false","","false","true",
"CENTRAL AFRICAN REPUBLIC","CF","2020","29","Total","3","WHO / GHO","20.00","Numeric","","","false","","false","true",
"CHAD","TD","2018","29","Total","3","WHO / GHO","40.00","Numeric","","","false","","false","true",
"CHAD","TD","2019","29","Total","3","WHO / GHO","40.00","Numeric","","","false","","false","true",
"CHAD","TD","2020","29","Total","3","WHO / GHO","40.00","Numeric","","","false","","false","true",
"COMOROS","KM","2018","29","Total","3","WHO / GHO","20.00","Numeric","","","false","","false","true",
"COMOROS","KM","2019","29","Total","3","WHO / GHO","20.00","Numeric","","","false","","false","true",
"COMOROS","KM","2020","29","Total","3","WHO / GHO","20.00","Numeric","","","false","","false","true",
"CÔTE D'IVOIRE","CI","2018","29","Total","3","WHO / GHO","80.00","Numeric","","","false","","false","true",
"CÔTE D'IVOIRE","CI","2019","29","Total","3","WHO / GHO","80.00","Numeric","","","false","","false","true",
"CÔTE D'IVOIRE","CI","2020","29","Total","3","WHO / GHO","80.00","Numeric","","","false","","false","true",
"DEMOCRATIC REPUBLIC OF CONGO","CD","2018","29","Total","3","WHO / GHO","60.00","Numeric","","","false","","false","true",
"DEMOCRATIC REPUBLIC OF CONGO","CD","2019","29","Total","3","WHO / GHO","60.00","Numeric","","","false","","false","true",
"DEMOCRATIC REPUBLIC OF CONGO","CD","2020","29","Total","3","WHO / GHO","60.00","Numeric","","","false","","false","true",
"EQUATORIAL GUINEA","GQ","2018","29","Total","3","WHO / GHO","40.00","Numeric","","","false","","false","true",
"EQUATORIAL GUINEA","GQ","2019","29","Total","3","WHO / GHO","20.00","Numeric","","","false","","false","true",
"EQUATORIAL GUINEA","GQ","2020","29","Total","3","WHO / GHO","20.00","Numeric","","","false","","false","true",
"ERITREA","ER","2018","29","Total","3","WHO / GHO","80.00","Numeric","","","false","","false","true",
"ERITREA","ER","2019","29","Total","3","WHO / GHO","80.00","Numeric","","","false","","false","true",
"ERITREA","ER","2020","29","Total","3","WHO / GHO","80.00","Numeric","","","false","","false","true",
"ESWATINI","SZ","2018","29","Total","3","WHO / GHO","40.00","Numeric","","","false","","false","true",
"ESWATINI","SZ","2019","29","Total","3","WHO / GHO","20.00","Numeric","","","false","","false","true",
"ESWATINI","SZ","2020","29","Total","3","WHO / GHO","40.00","Numeric","","","false","","false","true",
"ETHIOPIA","ET","2018","29","Total","3","WHO / GHO","80.00","Numeric","","","false","","false","true",
"ETHIOPIA","ET","2019","29","Total","3","WHO / GHO","80.00","Numeric","","","false","","false","true",
"ETHIOPIA","ET","2020","29","Total","3","WHO / GHO","80.00","Numeric","","","false","","false","true",
"GABON","GA","2018","29","Total","3","WHO / GHO","60.00","Numeric","","","false","","false","true",
"GABON","GA","2019","29","Total","3","WHO / GHO","40.00","Numeric","","","false","","false","true",
"GABON","GA","2020","29","Total","3","WHO / GHO","60.00","Numeric","","","false","","false","true",
"GAMBIA","GM","2018","29","Total","3","WHO / GHO","60.00","Numeric","","","false","","false","true",
"GAMBIA","GM","2019","29","Total","3","WHO / GHO","80.00","Numeric","","","false","","false","true",
"GAMBIA","GM","2020","29","Total","3","WHO / GHO","80.00","Numeric","","","false","","false","true",
"GHANA","GH","2018","29","Total","3","WHO / GHO","20.00","Numeric","","","false","","false","true",
"GHANA","GH","2019","29","Total","3","WHO / GHO","20.00","Numeric","","","false","","false","true",
"GHANA","GH","2020","29","Total","3","WHO / GHO","20.00","Numeric","","","false","","false","true",
"GUINEA","GN","2018","29","Total","3","WHO / GHO","80.00","Numeric","","","false","","false","true",
"GUINEA","GN","2019","29","Total","3","WHO / GHO","40.00","Numeric","","","false","","false","true",
"GUINEA","GN","2020","29","Total","3","WHO / GHO","60.00","Numeric","","","false","","false","true",
"GUINEA-BISSAU","GW","2018","29","Total","3","WHO / GHO","60.00","Numeric","","","false","","false","true",
"GUINEA-BISSAU","GW","2019","29","Total","3","WHO / GHO","20.00","Numeric","","","false","","false","true",
"GUINEA-BISSAU","GW","2020","29","Total","3","WHO / GHO","40.00","Numeric","","","false","","false","true",
"KENYA","KE","2018","29","Total","3","WHO / GHO","20.00","Numeric","","","false","","false","true",
"KENYA","KE","2019","29","Total","3","WHO / GHO","20.00","Numeric","","","false","","false","true",
"KENYA","KE","2020","29","Total","3","WHO / GHO","20.00","Numeric","","","false","","false","true",
"LESOTHO","LS","2018","29","Total","3","WHO / GHO","40.00","Numeric","","","false","","false","true",
"LESOTHO","LS","2019","29","Total","3","WHO / GHO","20.00","Numeric","","","false","","false","true",
"LESOTHO","LS","2020","29","Total","3","WHO / GHO","40.00","Numeric","","","false","","false","true",
"LIBERIA","LR","2018","29","Total","3","WHO / GHO","40.00","Numeric","","","false","","false","true",
"LIBERIA","LR","2019","29","Total","3","WHO / GHO","40.00","Numeric","","","false","","false","true",
"LIBERIA","LR","2020","29","Total","3","WHO / GHO","40.00","Numeric","","","false","","false","true",
"MADAGASCAR","MG","2018","29","Total","3","WHO / GHO","20.00","Numeric","","","false","","false","true",
"MADAGASCAR","MG","2019","29","Total","3","WHO / GHO","20.00","Numeric","","","false","","false","true",
"MADAGASCAR","MG","2020","29","Total","3","WHO / GHO","40.00","Numeric","","","false","","false","true",
"MALAWI","MW","2018","29","Total","3","WHO / GHO","80.00","Numeric","","","false","","false","true",
"MALAWI","MW","2019","29","Total","3","WHO / GHO","80.00","Numeric","","","false","","false","true",
"MALAWI","MW","2020","29","Total","3","WHO / GHO","80.00","Numeric","","","false","","false","true",
"MALI","ML","2018","29","Total","3","WHO / GHO","40.00","Numeric","","","false","","false","true",
"MALI","ML","2019","29","Total","3","WHO / GHO","40.00","Numeric","","","false","","false","true",
"MALI","ML","2020","29","Total","3","WHO / GHO","40.00","Numeric","","","false","","false","true",
"MAURITANIA","MR","2018","29","Total","3","WHO / GHO","20.00","Numeric","","","false","","false","true",
"MAURITANIA","MR","2019","29","Total","3","WHO / GHO","20.00","Numeric","","","false","","false","true",
"MAURITANIA","MR","2020","29","Total","3","WHO / GHO","20.00","Numeric","","","false","","false","true",
"MAURITIUS","MU","2018","29","Total","3","WHO / GHO","60.00","Numeric","","","false","","false","true",
"MAURITIUS","MU","2019","29","Total","3","WHO / GHO","80.00","Numeric","","","false","","false","true",
"MAURITIUS","MU","2020","29","Total","3","WHO / GHO","60.00","Numeric","","","false","","false","true",
"MOZAMBIQUE","MZ","2018","29","Total","3","WHO / GHO","60.00","Numeric","","","false","","false","true",
"MOZAMBIQUE","MZ","2019","29","Total","3","WHO / GHO","80.00","Numeric","","","false","","false","true",
"MOZAMBIQUE","MZ","2020","29","Total","3","WHO / GHO","80.00","Numeric","","","false","","false","true",
"NAMIBIA","NA","2018","29","Total","3","WHO / GHO","20.00","Numeric","","","false","","false","true",
"NAMIBIA","NA","2019","29","Total","3","WHO / GHO","60.00","Numeric","","","false","","false","true",
"NAMIBIA","NA","2020","29","Total","3","WHO / GHO","80.00","Numeric","","","false","","false","true",
"NIGER","NE","2018","29","Total","3","WHO / GHO","80.00","Numeric","","","false","","false","true",
"NIGER","NE","2019","29","Total","3","WHO / GHO","80.00","Numeric","","","false","","false","true",
"NIGER","NE","2020","29","Total","3","WHO / GHO","0.00","Numeric","","","false","","false","true",
"NIGERIA","NG","2018","29","Total","3","WHO / GHO","60.00","Numeric","","","false","","false","true",
"NIGERIA","NG","2019","29","Total","3","WHO / GHO","60.00","Numeric","","","false","","false","true",
"NIGERIA","NG","2020","29","Total","3","WHO / GHO","60.00","Numeric","","","false","","false","true",
"REPUBLIC OF CONGO","CG","2018","29","Total","3","WHO / GHO","80.00","Numeric","","","false","","false","true",
"REPUBLIC OF CONGO","CG","2019","29","Total","3","WHO / GHO","60.00","Numeric","","","false","","false","true",
"REPUBLIC OF CONGO","CG","2020","29","Total","3","WHO / GHO","60.00","Numeric","","","false","","false","true",
"RWANDA","RW","2018","29","Total","3","WHO / GHO","40.00","Numeric","","","false","","false","true",
"RWANDA","RW","2019","29","Total","3","WHO / GHO","60.00","Numeric","","","false","","false","true",
"RWANDA","RW","2020","29","Total","3","WHO / GHO","80.00","Numeric","","","false","","false","true",
"SÃO TOMÉ AND PRÍNCIPE","ST","2018","29","Total","3","WHO / GHO","80.00","Numeric","","","false","","false","true",
"SÃO TOMÉ AND PRÍNCIPE","ST","2019","29","Total","3","WHO / GHO","40.00","Numeric","","","false","","false","true",
"SÃO TOMÉ AND PRÍNCIPE","ST","2020","29","Total","3","WHO / GHO","40.00","Numeric","","","false","","false","true",
"SENEGAL","SN","2018","29","Total","3","WHO / GHO","40.00","Numeric","","","false","","false","true",
"SENEGAL","SN","2019","29","Total","3","WHO / GHO","60.00","Numeric","","","false","","false","true",
"SENEGAL","SN","2020","29","Total","3","WHO / GHO","80.00","Numeric","","","false","","false","true",
"SEYCHELLES","SC","2018","29","Total","3","WHO / GHO","20.00","Numeric","","","false","","false","true",
"SEYCHELLES","SC","2019","29","Total","3","WHO / GHO","20.00","Numeric","","","false","","false","true",
"SEYCHELLES","SC","2020","29","Total","3","WHO / GHO","20.00","Numeric","","","false","","false","true",
"SIERRA LEONE","SL","2018","29","Total","3","WHO / GHO","20.00","Numeric","","","false","","false","true",
"SIERRA LEONE","SL","2019","29","Total","3","WHO / GHO","20.00","Numeric","","","false","","false","true",
"SIERRA LEONE","SL","2020","29","Total","3","WHO / GHO","40.00","Numeric","","","false","","false","true",
"SOUTH AFRICA","ZA","2018","29","Total","3","WHO / GHO","60.00","Numeric","","","false","","false","true",
"SOUTH AFRICA","ZA","2019","29","Total","3","WHO / GHO","60.00","Numeric","","","false","","false","true",
"SOUTH AFRICA","ZA","2020","29","Total","3","WHO / GHO","60.00","Numeric","","","false","","false","true",
"SOUTH SUDAN","SS","2018","29","Total","3","WHO / GHO","40.00","Numeric","","","false","","false","true",
"SOUTH SUDAN","SS","2019","29","Total","3","WHO / GHO","40.00","Numeric","","","false","","false","true",
"SOUTH SUDAN","SS","2020","29","Total","3","WHO / GHO","40.00","Numeric","","","false","","false","true",
"TOGO","TG","2018","29","Total","3","WHO / GHO","20.00","Numeric","","","false","","false","true",
"TOGO","TG","2019","29","Total","3","WHO / GHO","20.00","Numeric","","","false","","false","true",
"TOGO","TG","2020","29","Total","3","WHO / GHO","80.00","Numeric","","","false","","false","true",
"UGANDA","UG","2018","29","Total","3","WHO / GHO","80.00","Numeric","","","false","","false","true",
"UGANDA","UG","2019","29","Total","3","WHO / GHO","80.00","Numeric","","","false","","false","true",
"UGANDA","UG","2020","29","Total","3","WHO / GHO","80.00","Numeric","","","false","","false","true",
"UNITED REPUBLIC OF TANZANIA","TZ","2018","29","Total","3","WHO / GHO","20.00","Numeric","","","false","","false","true",
"UNITED REPUBLIC OF TANZANIA","TZ","2019","29","Total","3","WHO / GHO","40.00","Numeric","","","false","","false","true",
"UNITED REPUBLIC OF TANZANIA","TZ","2020","29","Total","3","WHO / GHO","20.00","Numeric","","","false","","false","true",
"ZAMBIA","ZM","2018","29","Total","3","WHO / GHO","40.00","Numeric","","","false","","false","true",
"ZAMBIA","ZM","2019","29","Total","3","WHO / GHO","80.00","Numeric","","","false","","false","true",
"ZAMBIA","ZM","2020","29","Total","3","WHO / GHO","60.00","Numeric","","","false","","false","true",
"ZIMBABWE","ZW","2018","29","Total","3","WHO / GHO","60.00","Numeric","","","false","","false","true",
"ZIMBABWE","ZW","2019","29","Total","3","WHO / GHO","60.00","Numeric","","","false","","false","true",
"ZIMBABWE","ZW","2020","29","Total","3","WHO / GHO","60.00","Numeric","","","false","","false","true",
